gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1842868364	838475f4-f762-11e1-a439-00145eb45e9a	60DFFB16-35B9-4E8A-97DA-07CCE55326BE	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	15, Al-Hoceima, Ajdir	TAZA - AL HOCEIMA - TAOUNATE	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.22	-3.9			3.0	0.0			1993-06-30T00:00:00	30	6	1993	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-937608	BV1162/93			CC_BY_NC_4_0		M.J. Díez, M. Etlaftski & B. Valdés			2023-01-24T22:22:02.512Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842868361	838475f4-f762-11e1-a439-00145eb45e9a	60DA5E24-7211-49EA-A647-07AE1A808C81	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	15, Imzourene, nr Penon de Velez de la Gomera E of Morocco border post	TAZA - AL HOCEIMA - TAOUNATE	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.171001	-4.293793	0.71		3.0	0.0			1993-06-30T00:00:00	30	6	1993	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-937606	Jury-11359			CC_BY_NC_4_0		S.L. Jury & L.S. Springate			2023-01-24T22:22:02.225Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842868348	838475f4-f762-11e1-a439-00145eb45e9a	60F3C481-BA48-447F-82D3-05659B7AF5AE	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	3, LARACHE, Entre Ksar-el-Kebir y Larache, cerca de la fábrica de azúcar	TANGER - TÉTOUAN	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.05	-6.07			20.0	0.0			1995-03-17T00:00:00	17	3	1995	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-937611	BV 4822/95			CC_BY_NC_4_0		M.A. Mateos, M.C. Reina, G. Sangalli, N. Sardón & B. Valdés			2023-01-24T22:23:48.729Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842868279	838475f4-f762-11e1-a439-00145eb45e9a	60E2C5A0-537A-4E65-AB34-0E3A471DC6DE	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	19, Oujda, Between Saidia and Ras el Ma	Oriental	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.08	-2.25			3.0	0.0			1993-05-29T00:00:00	29	5	1993	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-937609	BV 440/93			CC_BY_NC_4_0		M. Etlaftski, M.A. Mateos & B. Valdés			2023-01-24T22:22:02.037Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842868052	838475f4-f762-11e1-a439-00145eb45e9a	5eef1c76-2bef-4172-a11b-f863826e2d15	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	Tetouan, inter oppidula Larache (Rhaba el Araïch) et El Khemis (Souk Khemis du Sahel)	TANGER - TÉTOUAN	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.2372	-6.1338	3900.0		7.5	2.5			1985-05-20T00:00:00	20	5	1985	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-813263	FC 9056			CC_BY_NC_4_0		C. Blanché, J. Fernández Casas, J. Molero, J.M. Montserrat & A. Romo			2023-01-24T22:23:48.273Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842865742	838475f4-f762-11e1-a439-00145eb45e9a	57a6f472-227f-440d-8437-ad866c5caa98	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	DZ	Oran	Oran	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.6852	-0.6045	11200.0						1887-02-20T00:00:00	20	2	1887	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-649270				CC_BY_NC_4_0		F. Doumergue			2023-01-24T22:21:59.900Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842858508	838475f4-f762-11e1-a439-00145eb45e9a	3f308062-6944-4e04-9eed-f30b1a194771	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	Larache, Ghedira	TANGER - TÉTOUAN	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.142	-6.1717	2000.0										3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-809339				CC_BY_NC_4_0		P. Font Quer			2023-01-24T22:21:41.962Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;RECORDED_DATE_UNLIKELY;INSTITUTION_MATCH_NONE
1842853929	838475f4-f762-11e1-a439-00145eb45e9a	2ffa7042-cf46-4e95-acb4-77fd6d4f50c2	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	Larache, Boucharen	TANGER - TÉTOUAN	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	35.15	-6.1247	5000.0						1930-04-19T00:00:00	19	4	1930	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-809362				CC_BY_NC_4_0		P. Font Quer			2023-01-24T22:23:32.562Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1842842997	838475f4-f762-11e1-a439-00145eb45e9a	06b2655e-f86a-400e-9b42-e01182d3b21e	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.	L.	MA	Atlas Rifain, Targuist	TAZA - AL HOCEIMA - TAOUNATE	PRESENT		6f3ccc65-0a54-4e65-ae7e-13b92d618e7c	34.9373	-4.3085	1900.0						1927-05-22T00:00:00	22	5	1927	3064472	3064472	PRESERVED_SPECIMEN	BC	BC N Africa	BC-809319				CC_BY_NC_4_0		P. Font Quer			2023-01-24T22:23:18.546Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1840914130	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100720786	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.		DZ	Algeria: comunidades de Juniperus phoenicea i dunes fixades. Alt.: 50m. 31.05.1989, Leg.: C. Benedí, G. Montserrat & J. M. Montserrat JMM-2286. ex herb. / ded. : BC no 921548.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862					50.0				1989-05-31T00:00:00	31	5	1989	3064472	3064472	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0720786				CC0_1_0		Benedí,C., Montserrat,G. & Montserrat,J.M.			2023-01-24T22:38:35.060Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY
1840026781	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000015233783V	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.		BE			PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395													3064472	3064472	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000015233783V				CC_BY_4_0	Meise Botanic Garden				2023-01-24T23:17:49.601Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1839007399	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100329890	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.		GR	Greece: Dráma, SO Pappades. Felsanriss, Krautfluren an Stausee. Alt.: 401 m.2009-04-25, Leg.: Willing,R. & Willing,E. 188905.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862	41.35111	24.20139			401.0				2009-04-25T00:00:00	25	4	2009	3064472	3064472	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0329890		E. Willing		CC0_1_0		Willing,R. & Willing,E.			2023-01-24T22:33:41.040Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
1839007098	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100147157	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.		GR	Greece: Fthiótis, Fthiotidhos, SW Glyfa. Felskante, Hartlaubgebüsch. Alt.: 30 m.1999-04-05, Leg.: Willing,R. & Willing,E. 74483.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862	38.92889	22.93944			30.0				1999-04-05T00:00:00	5	4	1999	3064472	3064472	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0147157		E. Willing		CC0_1_0		Willing,R. & Willing,E.			2023-01-24T22:37:28.204Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
1839005816	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100079878	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina L.		GR	Greece: Achaía, Patron, Kallogria. Sanddünen. Alt.: 5 m.2001-04-09, Leg.: Willing,R. & Willing,E. 86833.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862	38.16167	21.36611			5.0				2001-04-09T00:00:00	9	4	2001	3064472	3064472	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0079878		D.Geltman 2009		CC0_1_0		Willing,R. & Willing,E.			2023-01-24T22:37:24.603Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
1835625073	86b91ba1-4b24-447d-b11c-834edfca6d31	C2ADA75AF0C24947955A4EF5054712DB	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina	L.				PRESENT		02fce6f4-8dcd-4eaf-afe9-28ba30822751													3064472	3064472	PRESERVED_SPECIMEN	LYJB	LYJB	LYJB048447				CC_BY_NC_4_0					2023-01-25T07:18:31.674Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1835623995	86b91ba1-4b24-447d-b11c-834edfca6d31	BABA018DAF094F408B7EA3BB9D4BF9F4	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia terracina L.	Euphorbia terracina	L.				PRESENT		02fce6f4-8dcd-4eaf-afe9-28ba30822751													3064472	3064472	PRESERVED_SPECIMEN	LYJB	LYJB	LYJB048446				CC_BY_NC_4_0					2023-01-25T07:18:28.731Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1835621102	86b91ba1-4b24-447d-b11c-834edfca6d31	A2C6E97A358F4B2EAFBE3A1F1619F9B7	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia terracina		SPECIES	Euphorbia provincialis Willd.	Euphorbia provincialis	Willd.				PRESENT		02fce6f4-8dcd-4eaf-afe9-28ba30822751													3064492	3064472	PRESERVED_SPECIMEN	LYJB	LYJB	LYJB048381				CC_BY_NC_4_0					2023-01-25T07:18:28.586Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
